branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
"Whitney M. Young, Jr.",,,,1955,1591,1626,1847,1819,1779,1862,1680,388,0,0,0,14547
West Chicago Avenue,,,,1060,1061,1101,1084,946,936,1084,1079,909,1218,1048,1156,12682
Chicago Lawn,,,,3186,2638,2981,2946,2592,3739,3677,3871,3070,3626,3660,2753,38739
Roden,,,,6333,5764,6389,5613,5932,7062,7408,7359,6212,5955,5689,4967,74683
West Lawn,,,,4673,4122,4678,4588,3750,4250,4825,4778,3848,4532,3942,3062,51048
Chicago Bee,,,,1207,885,1075,825,917,986,1178,1371,1203,1104,1076,913,12740
South Chicago,,,,2270,2183,2447,2043,1895,2118,2402,2299,2037,2100,1624,1562,24980
Bezazian,,,,8300,7707,9213,8705,9262,9401,9363,9105,7876,7964,8288,7648,102832
South Shore,,,,2861,2269,2632,2013,2157,2205,2952,3490,2792,2700,2139,2317,30527
Austin,,,,1217,1253,1492,1307,1192,1367,1622,1455,1061,0,49,0,12015
Canaryville,,,,1703,1496,1904,1930,1717,2129,2249,2274,1897,1952,2059,1717,23027
Avalon,,,,3814,3988,3780,3993,3461,3586,3413,3893,4040,4869,3969,3175,45981
Jeffery Manor,,,,922,742,696,740,608,725,770,770,935,766,737,646,9057
"Daley, Richard M. - W Humboldt",,,,3000,2692,2866,2732,2279,2442,2477,2804,2699,2693,2486,2427,31597
West Town,,,,5799,5610,6640,5496,5838,6086,6159,6155,5850,5605,5633,4790,69661
Beverly,,,,6251,5158,6304,5603,6020,6668,6994,6856,6068,6313,5950,4584,72769
Mount Greenwood,,,,5172,4636,5789,5052,5379,6478,6732,6011,4954,5360,4914,4486,64963
Humboldt Park,,,,5521,5098,5666,5154,4712,5589,5869,5663,5202,5085,5208,4270,63037
Dunning,,,,5627,4704,5626,4811,4187,5096,5552,5144,4784,5185,3930,3746,58392
Lincoln Park,,,,10057,9079,10365,9273,9381,10090,10551,10673,9558,10005,9680,9121,117833
Bucktown-Wicker Park,,,,10280,9141,10757,9005,9231,10999,10388,11077,9230,9637,9153,8314,117212
Back of the Yards,,,,2790,2642,2937,2739,2334,2698,2652,2741,2418,2891,2551,1731,31124
Thurgood Marshall,,,,2574,2249,2540,2541,2259,2470,2475,3110,2506,2884,1546,8,27162
Kelly,,,,978,839,950,774,905,996,1004,1109,811,1009,933,852,11160
Independence,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayfair,,,,4893,4404,5199,4335,4131,5033,5049,5272,4698,5007,4481,4048,56550
Hall,,,,1133,902,1094,1159,1178,1611,1278,1459,1715,1400,879,1209,15017
Manning,,,,2340,1997,2320,2429,2105,2684,2353,2658,2790,2576,2436,2345,29033
Galewood-Mont Clare,,,,1027,875,1100,951,824,1078,1394,1186,930,1036,980,729,12110
Woodson Regional,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Square,,,,11141,10355,11892,9932,10069,11549,11790,11462,10819,10818,10555,8932,129314
Greater Grand Crossing,,,,2004,1636,1659,1807,1717,1761,1872,1880,2258,2668,1930,2000,23192
Edgewater,,,,15338,14406,16339,13701,14523,16415,16570,17056,15432,14889,14852,13441,182962
Hegewisch,,,,2235,2096,2249,2173,2009,2037,2157,2274,2050,2331,1981,1708,25300
West Pullman,,,,2574,2519,2694,2656,2442,2809,2584,2540,2434,2537,2097,1950,29836
West Englewood,,,,1381,1224,1296,1208,1182,1506,1361,1567,1402,1620,1685,1511,16943
Blackstone,,,,8430,7960,8677,8478,9354,9426,9987,9287,2679,7239,7755,7506,96778
Lozano,,,,4690,4101,5173,5534,4184,5059,5089,5246,4549,4707,4691,3646,56669
Albany Park,,,,11031,9447,11386,9983,9552,10396,10718,11123,9618,9742,10043,8495,121534
Gage Park,,,,2093,1221,1594,1614,1356,1428,1530,1658,1492,1862,1742,1582,19172
Archer Heights,,,,5857,5378,6800,5802,5729,5220,6075,5780,5290,5802,5200,5264,68197
Jefferson Park,,,,7197,6620,6991,6938,7063,7871,8408,8312,7010,6995,6836,6208,86449
Edgebrook,,,,8205,7604,8845,7734,7615,9448,10355,9865,8200,8493,8306,7236,101906
Near North,,,,9473,8531,9317,8486,9239,9930,9859,10012,9740,9065,9125,8144,110921
Scottsdale,,,,2879,2616,3373,2807,2550,3019,3326,2845,2593,2412,2501,1959,32880
Portage-Cragin,,,,7500,6941,7699,7441,6959,7523,8173,8384,7509,7659,7623,6333,89744
Walker,,,,1934,1503,1900,1757,1586,1769,2204,2057,1749,1800,1675,1575,21509
Brainerd,,,,1087,957,990,872,858,1027,944,1236,984,1020,1102,1348,12425
Clearing,,,,3420,2819,3504,3316,2671,3383,3934,3478,3035,3067,2890,2433,37950
Little Village,,,,5735,4749,5270,5210,4804,4426,5161,5317,5175,5790,5308,4297,61242
Sulzer Regional,,,,34177,31377,37311,34055,33331,35679,36438,36798,32274,32816,32316,26751,403323
Roosevelt,,,,4682,4538,4967,5117,4981,5319,5615,5496,4724,4427,4410,4090,58366
McKinley Park,,,,5830,5592,6332,5874,5708,6004,5965,5950,5266,5876,5309,4873,68579
