branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Blackstone,4904 S. Lake Park Ave.,Chicago,60615.0,7975,7461,4281,0,0,4583,6324,5951,6350,6111,5961,5840,60837
North Austin,5724 W. North Ave.,Chicago,60639.0,1072,869,573,0,0,410,647,703,796,705,682,636,7093
West Town,1625 W. Chicago Ave.,Chicago,60622.0,4684,4537,3287,0,0,2582,3101,3382,3452,3847,3394,3269,35535
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,7384,6714,4696,0,0,3109,5321,5578,5659,6165,5467,5534,55627
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,12260,11556,7889,0,0,6265,9061,8792,8753,9925,8895,8669,92065
West Englewood,1745 W. 63rd St.,Chicago,60636.0,1050,905,557,0,0,191,261,347,369,362,337,242,4621
Archer Heights,5055 S. Archer Ave.,Chicago,60632.0,3769,3498,2681,0,0,1398,2151,2103,2194,2365,1954,1816,23929
Hegewisch,3048 E. 130th St.,Chicago,60633.0,2020,1334,1404,0,0,602,1052,1113,1195,1219,652,888,11479
Independence,4024 N. Elston Ave.,Chicago,60618.0,6652,7177,3946,0,0,3919,6265,5913,5559,5734,5356,5173,55694
Lozano,1805 S. Loomis St.,Chicago,60608.0,3456,2838,1732,2,0,1142,2019,2201,2296,2186,1783,1881,21536
South Shore,2505 E. 73rd St.,Chicago,60649.0,1,965,1088,0,0,643,851,876,977,1038,808,533,7780
Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,6044,5774,3024,0,5,2783,3699,3788,3891,4285,3502,3539,40334
Douglass,3353 W. 13th St.,Chicago,60623.0,1112,879,577,0,0,235,368,311,418,414,276,195,4785
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,11156,10359,7846,0,1,4824,9139,8789,7514,3,5421,6871,71923
Roden,6083 N. Northwest Hwy.,Chicago,60631.0,1518,4675,4110,0,0,3236,4845,2779,3830,4345,4095,3821,37254
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,732,628,345,0,0,0,0,0,0,0,0,0,1705
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,4697,4840,4026,0,11,1249,2989,2957,3032,3390,3049,2782,33022
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,9696,9222,6361,0,0,4494,6914,7265,7067,9118,7314,7422,74873
North Pulaski,4300 W. North Ave.,Chicago,60639.0,1733,1962,954,0,0,722,846,999,1102,1294,963,690,11265
McKinley Park,1915 W. 35th St.,Chicago,60609.0,4750,4363,3334,0,0,2296,3279,2914,2705,2790,2562,2022,31015
West Pullman,830 W. 119th St.,Chicago,60643.0,1449,1491,1083,0,0,344,678,790,842,739,703,649,8768
Beverly,1962 W. 95th St.,Chicago,60643.0,3746,3822,3017,0,0,1937,2928,2817,2940,2793,2824,2349,29173
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,0,0,0,0,0,0,0,0,0,1,23,221,245
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,4410,3785,3086,0,0,1239,2000,1602,1921,2100,1959,1679,23781
Austin,5615 W. Race Ave.,Chicago,60644.0,1315,1235,809,0,0,452,730,920,944,782,639,566,8392
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,1313,1244,1016,0,0,512,764,674,760,947,645,721,8596
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,6161,5460,4235,0,2,3067,4073,3099,3574,4299,4109,3663,41742
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,2929,2892,2079,0,0,1547,2408,2419,2662,2654,2626,2230,24446
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,1667,1234,804,0,0,342,534,709,790,885,577,6,7548
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,2242,2139,1754,0,0,1109,1686,1626,1866,1686,1437,1407,16952
Merlo,644 W. Belmont Ave.,Chicago,60657.0,0,0,0,0,0,36,5627,6722,7177,7703,7005,6881,41151
Uptown,929 W. Buena Ave.,Chicago,60613.0,7877,7308,5655,0,0,4160,6301,5730,5915,6060,5055,5446,59507
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,2161,2506,1774,0,1,854,1321,1641,1278,1163,1271,1110,15080
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,48585,42078,31090,275,245,16445,22446,23210,24061,24382,23071,20990,276878
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,3047,2830,2327,0,0,881,1610,1969,1859,1914,1373,1237,19047
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,703,713,412,0,0,207,345,284,298,338,236,138,3674
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,2862,2444,1659,0,0,855,1144,1347,1602,1445,1132,1136,15626
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,14013,13412,9198,0,12,7628,10263,9744,10462,11492,9859,9305,105388
Gage Park,2807 W. 55th St.,Chicago,60632.0,1254,1233,727,0,0,0,0,0,0,0,0,0,3214
Northtown,6800 N. Western Ave.,Chicago,60645.0,10481,9613,7569,19,0,6868,10675,10285,9867,10236,9692,9492,94797
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,3769,3407,3017,0,0,2675,3465,3218,2786,2978,2817,2368,30500
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,8134,7405,5063,1,0,4028,6402,6339,6441,6726,5794,4218,60551
West Loop,122 N. Aberdeen St.,Chicago,60607.0,5153,4618,2853,0,0,2238,3442,3858,3322,4115,3678,3434,36711
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,840,716,551,0,0,204,375,249,16,0,222,195,3368
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,662,500,482,0,0,278,454,381,373,393,277,291,4091
Hall,4801 S. Michigan Ave.,Chicago,60615.0,1249,1108,990,0,0,749,945,823,903,868,70,0,7705
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,4603,3804,3015,0,0,2467,3297,3308,3425,3364,3317,2807,33407
Coleman,731 E. 63rd St.,Chicago,60637.0,1747,1750,1032,0,0,727,923,1061,1015,888,798,836,10777
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,7877,7175,4749,0,0,4077,6122,5898,6365,5869,4495,4077,56704
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,4587,4162,3034,0,10,1292,2022,2011,2187,2387,1802,1779,25273
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,1485,1471,872,0,0,480,804,807,1008,1054,815,777,9573
Chicago Bee,3647 S. State St.,Chicago,60609.0,749,728,537,0,0,384,594,588,750,657,498,550,6035
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,986,2091,1792,0,0,713,1343,1454,1246,1356,1578,1126,13685
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,411,521,373,0,0,117,202,223,209,129,302,188,2675
