branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Uptown,,,,7473,7067,7608,7564,7255,7460,7383,7645,6759,7652,6745,6659,87270
Vodak-East Side,,,,4054,4007,4532,4367,3222,4079,4494,4680,4041,4632,4076,3167,49351
Walker,,,,1867,1958,1906,2034,1559,2243,2245,2046,1872,2187,1944,1638,23499
Water Works,,,,3109,3195,3398,3453,3241,3592,3633,4189,3735,3952,3655,3112,42264
West Belmont,,,,6911,6724,7633,7265,6229,6011,7199,7367,6514,7801,7921,6506,84081
West Chicago Avenue,,,,1502,1581,1492,1327,1068,1245,1238,1631,1734,1399,1271,1157,16645
West Englewood,,,,1245,1302,1495,1513,1123,1381,1275,1856,1481,1656,1412,1139,16878
West Lawn,,,,5389,5221,5648,5732,4157,4801,4907,5164,4647,4789,4679,3981,59115
West Pullman,,,,2144,1914,2364,2089,1597,2217,2097,2304,1993,2223,2811,2696,26449
West Town,,,,6748,6832,7278,6659,5514,6103,5882,6411,6373,6042,6332,5304,75478
"Whitney M. Young, Jr.",,,,1713,1815,2338,2271,1860,1866,1867,2118,1969,1843,1886,1648,23194
Woodson Regional,,,,7833,7782,8389,8166,7409,6481,6895,7398,6481,6542,1246,0,74622
Wrightwood-Ashburn,,,,2208,2185,2188,2339,1683,2037,2300,2415,2057,1968,2086,1724,25190
