branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,1472,1214,1611,1465,1271,1423,1903,2191,2381,1879,1614,1469,19893
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,2572,2357,2641,2450,2175,2778,2735,2729,2599,2703,2486,2337,30562
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,2971,2868,3669,3378,3286,3986,3897,3797,3308,3221,3386,2744,40511
West Pullman,830 W. 119th St.,Chicago,60643.0,592,700,686,817,641,750,732,720,900,761,577,578,8454
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,5166,4381,5378,5447,4609,5215,5317,5309,4772,4565,4856,4606,59621
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,119,196,224,235,245,197,320,260,301,237,261,262,2857
Altgeld,955 E. 131st St.,Chicago,60827.0,150,139,179,289,297,198,257,229,314,223,173,193,2641
North Austin,5724 W. North Ave.,Chicago,60639.0,477,552,513,537,497,541,855,572,661,631,468,428,6732
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,1400,1168,1547,1730,1323,1634,1706,1619,1710,1466,1206,956,17465
Near North,310 W. Division St.,Chicago,60610.0,7192,6226,4761,0,0,1704,295,3514,5555,6073,6155,5285,46760
Water Works,163 E. Pearson St.,Chicago,60611.0,2506,2130,2934,3719,3810,3914,4136,3739,2926,2869,2801,2826,38310
Uptown,929 W. Buena Ave.,Chicago,60613.0,5798,4934,6186,4648,0,1351,5432,5789,5401,5119,5124,4925,54707
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,8411,7519,8607,8530,7528,8274,8496,8883,8856,8178,8481,7104,98867
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,346,487,508,401,388,537,634,524,422,453,339,296,5335
Albany Park,3401 W. Foster Ave.,Chicago,60625.0,5561,5082,5921,5671,4666,5392,5985,5697,5316,4955,5416,4824,64486
West Englewood,1745 W. 63rd St.,Chicago,60636.0,365,379,458,525,358,380,513,414,270,289,355,270,4576
Northtown,6800 N. Western Ave.,Chicago,60645.0,8393,7872,8881,8586,7833,9470,9487,9052,7637,8452,7857,7668,101188
West Lawn,4020 W. 63rd St.,Chicago,60629.0,548,1123,1787,2033,1592,1960,2063,1829,2172,1951,1751,1416,20225
King,3436 S. King Dr.,Chicago,60616.0,1033,959,980,964,1032,929,1157,999,1021,969,1017,880,11940
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,1275,1279,1348,1306,1282,1194,1245,1414,1262,1176,1062,977,14820
Lozano,1805 S. Loomis St.,Chicago,60608.0,1952,2025,2542,2248,2027,1909,2223,2323,1955,2037,2045,1716,25002
Merlo,644 W. Belmont Ave.,Chicago,60657.0,8823,8172,10186,8889,8589,9293,9563,9546,8775,8566,8762,7572,106736
Little Italy,1336 W. Taylor St.,Chicago,60607.0,3823,3291,4146,3953,3464,4013,4057,3872,3754,3610,3931,3086,45000
Canaryville,642 W. 43rd St.,Chicago,60609.0,1035,1058,1339,1356,69,0,399,670,674,816,718,864,8998
Independence,4024 N. Elston Ave.,Chicago,60618.0,6271,5590,6532,6155,5537,6672,6646,6657,6072,6078,6419,5217,73846
Austin,5615 W. Race Ave.,Chicago,60644.0,521,576,667,644,524,643,592,573,747,683,666,753,7589
Scottsdale,4101 W. 79th St.,Chicago,60652.0,1298,1072,1629,1465,1151,1326,1476,1250,1089,1246,1178,971,15151
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,12262,1744,957,8660,9251,10803,10886,10899,10538,9917,9775,8481,104173
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,979,939,1709,2123,1403,1551,1366,1131,1295,1258,1164,1084,16002
North Pulaski,4300 W. North Ave.,Chicago,60639.0,973,782,1163,1243,1033,1001,950,1207,1078,988,1266,991,12675
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,10060,9199,10115,9720,9007,9890,10610,10297,9903,9253,9643,8622,116319
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,5054,4857,5787,5604,4626,5883,6068,5834,5419,4917,4976,4457,63482
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,282,214,390,325,265,331,457,363,350,408,377,356,4118
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,744,581,816,1114,689,819,482,860,766,733,671,575,8850
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659.0,5948,5600,6369,5991,5265,6640,6747,6344,5669,5962,6083,5431,72049
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,1376,1235,1582,1682,1028,1363,1600,1349,1353,1416,1266,1183,16433
Coleman,731 E. 63rd St.,Chicago,60637.0,759,751,878,919,768,1053,1058,981,954,965,1130,843,11059
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,3418,2726,3554,3255,3255,3700,3777,3917,3635,3682,3661,3095,41675
Douglass,3353 W. 13th St.,Chicago,60623.0,273,447,451,517,479,0,224,360,378,368,404,349,4250
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,1712,1563,1818,1846,1575,2136,1914,1970,1733,2270,1988,1455,21980
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,6738,5972,6872,6602,5609,7397,7621,7818,6225,6238,6537,5630,79259
Roden,6083 N. Northwest Hwy.,Chicago,60631.0,4382,3717,5336,4931,4018,4915,5395,5214,4367,4719,4614,4006,55614
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,22510,20712,24151,23657,21229,23305,23715,26029,22770,22560,22288,20480,273406
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,4632,4346,5200,5444,4729,5544,5958,5655,5294,4733,5215,4241,60991
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,3017,2750,3117,2957,2629,3517,3770,3433,3122,2407,3156,2493,36368
Gage Park,2807 W. 55th St.,Chicago,60632.0,309,326,492,608,628,655,967,761,494,706,786,761,7493
Hegewisch,3048 E. 130th St.,Chicago,60633.0,776,756,1087,973,790,1210,1108,406,162,915,845,706,9734
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,11413,10360,13204,13180,11754,13373,13666,12795,11304,10720,11015,9629,142413
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,509,477,591,608,629,573,519,538,436,446,456,404,6186
McKinley Park,1915 W. 35th St.,Chicago,60609.0,3720,3313,3982,3463,3258,3232,3157,3239,3007,2746,2474,2290,37881
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,0,0,0,7,1716,3426,3979,3739,3444,3097,2958,2941,25307
West Loop,122 N. Aberdeen St.,Chicago,60607.0,4213,3663,4790,4557,4200,4236,4560,4655,4769,4507,4585,3953,52688
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,6392,5288,6249,6456,7310,7530,6891,6817,6194,5937,5857,5893,76814
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,1737,1666,2229,2209,1824,1808,1789,2389,2178,2388,2063,1455,23735
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,786,565,755,779,666,731,893,921,900,735,570,619,8920
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,25207,25276,29870,25578,23141,25830,26692,26071,24423,23921,24073,21258,301340
Rogers Park,6907 N. Clark St.,Chicago,60626.0,6702,5608,7066,6847,6317,6832,6950,6638,6443,6142,6095,5948,77588
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kelly,6151 S. Normal Blvd.,Chicago,60621.0,443,461,363,287,265,479,450,511,638,402,466,376,5141
West Town,1625 W. Chicago Ave.,Chicago,60622.0,4375,3887,4775,4450,4199,4959,4901,4700,4107,4546,4642,3918,53459
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,3335,2902,4072,4244,3778,4642,4597,4703,3490,3625,3644,3024,46056
Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,4795,4258,5316,5343,4791,5367,5477,5362,4991,4847,4035,3957,58539
Brainerd,1350 W. 89th St.,Chicago,60620.0,255,264,370,386,399,421,337,373,361,276,256,201,3899
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,1394,1321,1327,1705,1609,1578,1609,1512,1425,1603,1579,1278,17940
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,496,528,739,775,587,804,720,883,681,697,799,615,8324
Chicago Bee,3647 S. State St.,Chicago,60609.0,799,543,709,803,707,931,778,770,714,835,718,788,9095
