branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Chinatown,2100 S. Wentworth Ave.,Chicago,60616.0,3460,2654,4009,3597,4333,4730,5682,5269,5466,5500,5240,4414,54354
Douglass,3353 W. 13th St.,Chicago,60623.0,366,273,347,318,393,475,389,410,543,517,358,463,4852
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,7374,7246,8600,8373,8623,9533,9856,9227,9132,9220,9424,8686,105294
Roden,6083 N. Northwest Hwy.,Chicago,60631.0,3850,3744,4532,3523,4199,4403,4971,4548,3874,4435,4010,3480,52091
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,2877,2234,3398,2727,2518,3090,3322,3186,3356,3192,3037,2618,35555
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647.0,7291,6310,7795,7504,7660,8099,8006,7335,7450,7997,7550,6710,89707
North Pulaski,4300 W. North Ave.,Chicago,60639.0,876,614,783,720,1020,974,1002,1017,1025,1213,1112,855,18393
McKinley Park,1915 W. 35th St.,Chicago,60609.0,127,1592,2512,2222,2405,2677,3123,3733,4041,3706,3705,3076,37408
West Pullman,830 W. 119th St.,Chicago,60643.0,562,344,591,539,581,493,735,682,637,835,668,694,7361
Beverly,1962 W. 95th St.,Chicago,60643.0,2827,2245,2868,2782,2869,3118,3637,3196,3080,3177,3395,2655,35849
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,344,234,421,420,488,466,479,566,435,458,454,461,5226
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,1746,1562,2159,1766,1677,1895,2070,1829,2640,2503,2187,1636,23670
Austin,5615 W. Race Ave.,Chicago,60644.0,680,626,667,549,565,682,581,512,625,611,563,447,7108
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,597,0,447,486,606,791,679,746,740,755,833,607,7287
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,3868,3332,4559,4174,4175,4866,5573,5385,4925,5395,5085,4116,55453
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,2396,1917,2867,2457,2364,2265,2615,2504,2627,2498,2602,2120,30188
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,154,291,628,605,564,721,875,963,861,656,640,738,7885
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,1667,1262,1465,1517,1579,2025,2072,1754,1714,1696,1830,1603,20184
Merlo,644 W. Belmont Ave.,Chicago,60657.0,7473,7031,7944,8022,8035,8101,8093,8334,8640,8994,7904,7565,91433
Uptown,929 W. Buena Ave.,Chicago,60613.0,6972,5496,5671,5047,5163,5812,6126,5643,5797,5623,5343,4768,67461
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629.0,1111,902,1264,1184,1452,1661,2000,1634,1509,1895,1563,1380,17555
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,20965,18837,21898,21220,22635,25011,24932,24348,24256,23970,22693,21046,271811
Brighton Park,4314 S. Archer Ave.,Chicago,60632.0,1491,1090,1704,1471,1525,1643,1914,1551,200,26,1170,1172,14957
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,155,173,135,111,161,201,225,270,337,346,310,260,2684
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,1041,924,1280,1157,1223,1395,1829,1318,1478,1443,1541,1138,15767
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,9936,8912,11336,10740,10787,12202,11856,11427,10767,10886,10992,9308,129149
Gage Park,2807 W. 55th St.,Chicago,60632.0,0,0,0,0,0,0,18,545,423,669,608,510,2773
Northtown,6800 N. Western Ave.,Chicago,60645.0,9320,8239,9846,8881,9253,10035,10412,9839,8712,9200,8452,8037,106764
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,3229,2701,3431,3092,3034,3721,3820,3373,3073,3151,3008,2564,38197
Bezazian,1226 W. Ainslie St.,Chicago,60640.0,162,1265,5408,5055,5312,5845,6276,5696,5540,5640,5614,5260,57073
West Loop,122 N. Aberdeen St.,Chicago,60607.0,3468,3130,3701,3830,3727,4043,4209,4126,3823,4057,3845,3547,45506
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,222,288,271,302,325,335,342,357,324,365,468,353,7079
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,267,178,284,260,41,102,272,326,348,303,464,360,3205
Hall,4801 S. Michigan Ave.,Chicago,60615.0,6,162,418,469,525,616,712,691,671,632,684,583,6169
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,3330,2750,3261,3392,3230,3845,3746,3663,3176,2951,2862,2862,41816
Coleman,731 E. 63rd St.,Chicago,60637.0,836,716,883,657,1013,766,1205,1110,1147,1024,988,812,11157
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634.0,4715,4232,5796,4717,5354,6140,6020,5749,5311,5480,4718,4702,62934
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,2020,1681,1909,2071,1939,1589,2162,2056,2173,2220,1872,1636,23328
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,723,659,728,633,638,611,758,753,771,723,869,651,9986
Chicago Bee,3647 S. State St.,Chicago,60609.0,595,582,506,610,594,704,634,726,777,865,777,521,7891
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,1091,1109,1550,1497,1259,1681,2009,1603,1818,1882,1573,1554,18626
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,158,199,204,140,174,199,273,253,189,173,159,197,2859
