branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,11587,11718,15218,14150,13897,14997,16318,16522,13504,15803,13617,11315,168646
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,9826,9336,11605,10534,10314,11653,12704,12758,11161,12329,11050,10067,133337
Little Italy,1336 W. Taylor St.,Chicago,60607.0,1088,3975,6130,5485,5717,6177,6750,6558,4983,5642,5020,4756,62281
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474,39280
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206,131945
Lozano,1805 S. Loomis St.,Chicago,60608.0,3781,3346,3974,3237,2960,3189,3781,4139,3516,3952,3273,2963,42111
Manning,6 S. Hoyne Ave.,Chicago,60612.0,1730,1729,1758,1898,1716,1705,2130,2269,1877,2116,1800,1490,22218
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,4283,3826,4475,3935,3606,4006,4444,4403,3873,4068,3270,2713,46902
McKinley Park,1915 W. 35th St.,Chicago,60609.0,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882
Merlo,644 W. Belmont Ave.,Chicago,60657.0,8053,6583,1,0,0,0,0,0,0,0,0,0,14637
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,4301,4637,4949,4624,4788,5486,6275,5271,4309,4748,4179,3483,57050
Near North,310 W. Division St.,Chicago,60610.0,8232,7589,8325,8367,8600,8953,9921,9653,8051,9220,7965,7350,102226
North Austin,5724 W. North Ave.,Chicago,60639.0,997,821,735,995,959,1030,1308,1333,1161,1238,1014,875,12466
North Pulaski,4300 W. North Ave.,Chicago,60639.0,2476,2106,2397,2677,2290,2076,2514,2514,2097,2314,2074,1695,27230
Northtown,6800 N. Western Ave.,Chicago,60645.0,109,45,9413,10129,9740,11365,13998,12762,9765,11590,9017,9011,106944
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,5120,5265,6103,5583,5305,6012,6505,5992,4985,5501,4503,4334,65208
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,6272,5363,6671,2688,0,1265,6023,5576,5101,4703,4909,4062,52633
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,1139,1072,1052,1013,1104,1155,976,1042,1067,1046,885,955,12506
Roden,6083 N. Northwest Hwy.,Chicago,60631.0,5994,5749,6976,6455,5990,6697,7785,6981,5813,6196,5845,2444,72925
Rogers Park,6907 N. Clark St.,Chicago,60626.0,10289,10039,10648,9532,8916,9357,10283,10171,8841,9068,8141,7680,112965
Scottsdale,4101 W. 79th St.,Chicago,60652.0,2062,1744,2184,2016,1875,1836,2038,1826,1530,1719,1689,1404,21923
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,589,593,540,595,584,483,743,696,548,691,515,427,7004
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699
South Shore,2505 E. 73rd St.,Chicago,60649.0,2052,511,7,0,0,0,0,0,0,0,0,1,2571
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,31782,29305,33438,30611,29432,32036,33964,33231,29364,30507,29105,26755,369530
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,1845,1936,1730,1753,1868,1945,2108,1699,1595,1857,1508,1295,21139
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612,50027
Uptown,929 W. Buena Ave.,Chicago,60613.0,4063,5991,7361,7704,7969,8542,9561,9434,7843,8226,7514,6661,90869
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773,16505
Water Works,163 E. Pearson St.,Chicago,60611.0,4141,3801,4478,4515,4864,4964,5788,5799,5057,5194,5049,4308,57958
West Belmont,3104 N. Narragansett Ave.,Chicago,60611.0,2334,4986,5554,6818,6454,7153,6601,6583,5137,5871,4561,3801,65853
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634.0,827,767,684,756,851,228,845,731,802,1031,704,586,8812
West Englewood,1745 W. 63rd St.,Chicago,60651.0,1053,940,1043,1095,1200,1100,1249,1469,1227,1181,1123,854,13534
West Lawn,4020 W. 63rd St.,Chicago,60636.0,2757,2631,2859,3038,2761,2807,3470,3049,2919,4307,3305,2479,36382
West Loop,122 N. Aberdeen St.,Chicago,60607.0,2620,5386,5732,4838,4830,4879,5720,5916,5124,5449,4789,4122,59405
West Pullman,830 W. 119th St.,Chicago,60643.0,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212,17823
West Town,1625 W. Chicago Ave.,Chicago,60622.0,5076,4166,5454,5075,4659,5366,5756,5878,5001,4950,4511,3997,59889
"Whitney M. Young, Jr.",415 E. 79th St.,Chicago,60619.0,763,1496,2003,1911,1879,1997,2126,1914,1861,2288,2089,1646,21973
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,5061,5034,5524,5313,4683,5133,5103,4966,5118,5475,4667,3856,59933
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,1478,1322,1526,1440,1566,1675,1812,1631,1552,1475,1297,833,17607
