branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Chicago Bee,3647 S. State St.,Chicago,60609.0,1175,1054,1397,1310,1197,1252,1279,1451,1511,1647,1503,1353,16129
Chicago Lawn,6120 S. Kedzie Ave. ,Chicago,60629.0,4578,3623,5756,5470,4397,5148,5674,5760,6538,7463,6229,5303,65939
Chinatown,2353 S. Wentworth Ave.,Chicago,60616.0,14027,11021,14094,14346,13080,13615,13609,13664,12098,13107,12661,13127,158449
Clearing,6423 W. 63rd Pl.,Chicago,60638.0,6718,5460,7109,6218,5844,6709,7385,6692,6343,6928,6960,5577,77943
Coleman,731 E. 63rd St.,Chicago,60637.0,2306,2001,2646,2747,2784,2846,2827,3339,3383,3723,2862,2516,33980
"Daley, Richard J. - Bridgeport",3400 S. Halsted St.,Chicago,60608.0,6995,6201,8667,8371,7894,8414,8754,8968,9035,9232,8542,8229,99302
"Daley, Richard M. - W Humboldt",733 N. Kedzie Ave.,Chicago,60612.0,0,0,3,5,3,0,5544,8248,6748,6421,6207,5132,38311
Douglass,3353 W. 13th St.,Chicago,60623.0,1587,1142,1965,2128,1872,1820,2127,2823,2290,2373,2082,1982,24191
Dunning,7455 W. Cornelia Ave.,Chicago,60634.0,0,0,1,5,6242,8177,8417,8336,7218,8562,7516,6418,60892
Edgebrook,5331 W. Devon Ave.,Chicago,60646.0,10231,8938,11917,11354,9871,12560,11815,11229,10423,11224,10649,9077,129288
Edgewater,1210 W. Elmdale Ave.,Chicago,60660.0,11573,9666,13273,13317,12808,7011,1515,1617,1604,1543,1420,1583,76930
Gage Park,2807 W. 55th St.,Chicago,60632.0,2109,1849,2960,3213,2401,2686,2842,2849,2993,3926,3170,2980,33978
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707.0,519,546,758,760,572,847,1073,1188,807,823,781,544,9218
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638.0,6138,5229,7473,6397,5925,9112,8990,6944,7060,7959,7172,6082,84481
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619.0,0,3,190,971,2463,3660,3503,4432,3642,4142,3665,3251,29922
Hall,4801 S. Michigan Ave.,Chicago,60615.0,2416,1914,2720,2644,2693,3134,3373,2953,2894,2944,2836,2875,33396
Harold Washington Library Center,400 S. State St.,Chicago,60605.0,79210,67574,89122,88527,82581,82100,80219,85193,81400,82236,79702,68856,966720
Hegewisch,3048 E. 130th St.,Chicago,60633.0,3221,2749,3668,3492,3181,3324,3852,3934,3570,3755,3617,3073,41436
Humboldt Park,1605 N. Troy St.,Chicago,60647.0,6251,5736,7798,8184,7509,7502,7019,7120,6609,7424,6943,6730,84825
Independence,3548 W. Irving Park Rd.,Chicago,60618.0,8860,7653,9773,10897,9401,11998,12958,11913,10682,11534,10603,9614,125886
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630.0,8819,8308,10663,11099,9422,10735,10591,11447,10447,11033,10757,9755,123076
Jeffery Manor,2401 E. 100th St.,Chicago,60617.0,1223,1115,1757,1811,1429,1531,1437,1702,1554,1684,1613,1463,18319
Kelly,6151 S. Normal Boulevard,Chicago,60621.0,963,827,1315,1143,1004,1384,1585,1918,1705,2200,1729,1575,17348
King,3436 S. King Dr.,Chicago,60616.0,1903,1795,2586,2875,3108,3255,3446,3732,3505,3711,3257,3107,36280
Legler Regional,115 S. Pulaski Rd.,Chicago,60624.0,1344,1080,1635,1699,1425,1690,1485,1075,1866,1791,1795,1602,18487
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657.0,14395,12810,17392,16567,14487,18539,17242,17970,16568,17209,16397,14692,194268
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614.0,11018,9450,12384,12234,11213,13035,13260,12480,11702,11917,11478,10706,140877
Little Village,2311 S. Kedzie Ave.,Chicago,60623.0,0,0,0,0,0,0,0,2,0,15910,14632,11732,42276
Logan Square,3030 W. Fullerton Ave.,Chicago,60647.0,11179,10074,13568,13074,11784,13474,13254,14015,13316,14825,13995,13183,155741
Lozano,1805 S. Loomis St.,Chicago,60608.0,5076,4761,6317,6354,5622,6251,6204,7287,6854,7698,6589,6029,75042
Manning,6 S. Hoyne Ave.,Chicago,60612.0,3308,3087,3771,3914,3401,3864,4079,3991,3887,3993,3798,3608,44701
Mayfair,4400 W. Lawrence Ave.,Chicago,60630.0,3998,3481,5227,5528,4723,6321,6965,6688,5764,6146,5564,5613,66018
McKinley Park,1915 W. 35th St.,Chicago,60609.0,7396,6460,8744,8587,7632,8859,8415,9425,8833,9537,9165,8328,101381
Merlo,644 W. Belmont Ave.,Chicago,60657.0,9547,8804,10948,9937,9314,11206,11556,11287,11042,11746,11158,10615,127160
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655.0,7363,5868,8418,7284,6552,8778,9325,7682,6964,7326,7148,5981,88689
Near North,310 W. Division St.,Chicago,60610.0,11032,10021,12911,12621,12437,13988,13955,14729,13989,13355,13006,12194,154238
North Austin,5724 W. North Ave.,Chicago,60639.0,2481,2045,2674,2832,2202,2694,3302,3225,3160,3074,2796,2272,32757
North Pulaski,4300 W. North Ave.,Chicago,60639.0,3848,3176,4111,5066,3885,5105,5916,5512,5349,6386,5952,5372,59678
Northtown,6435 N. California Ave.,Chicago,60645.0,10191,8314,11569,11577,10902,14202,15310,14152,11623,12266,12673,12227,145006
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,11999,11206,13675,12755,10364,12781,12219,12066,10856,11324,10503,9878,139626
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,9185,7634,9760,10163,7995,9735,10617,11203,10188,11418,10718,9517,118133
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,1916,1206,1975,2176,2019,2347,2092,2426,2476,2611,2530,2033,25807
Roden,6083 N. Northwest Highway,Chicago,60631.0,6336,5830,7513,6978,6180,8519,8985,7592,6628,7113,6999,6082,84755
Rogers Park,6907 N. Clark St.,Chicago,60626.0,10537,9683,13812,13745,13368,18314,20367,19773,18419,18972,17255,16597,190842
Roosevelt,1101 W. Taylor St.,Chicago,60607.0,6357,6171,8228,7683,7257,8545,8134,8289,7696,7598,7019,6665,89642
Scottsdale,4101 W. 79th St.,Chicago,60652.0,4475,4049,5551,5088,4399,4985,5803,5878,4716,5302,4832,4659,59737
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,987,594,1232,1520,1669,1553,1919,2124,2070,2163,2103,1884,19818
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,3791,2879,4479,4207,4226,5118,4327,5228,5013,5448,4933,4519,54168
South Shore,2505 E. 73rd St.,Chicago,60649.0,2620,2158,3146,3555,3114,3498,3825,4102,4085,4386,3830,3635,41954
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,50375,42237,57391,50874,49563,53322,54941,56920,51054,54375,52274,46408,619734
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,2998,2377,3355,3439,2635,3229,3359,3640,3709,4321,3246,3227,39535
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,9018,8186,11518,12127,9735,12723,12150,12045,12374,13302,11558,10455,135191
Uptown,929 W. Buena Ave.,Chicago,60613.0,7374,6813,8818,9142,8497,10014,10888,10424,9764,10001,8865,8741,109341
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,5965,5399,6620,6206,5419,6820,4920,6388,6590,6711,5998,4980,72016
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,3168,2901,3869,3921,3813,4667,4519,4636,4195,4237,3646,4062,47634
Water Works,163 E. Pearson St.,Chicago,60611.0,2609,2870,3718,3529,3669,3666,4099,4292,4138,4321,4219,3917,45047
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,8889,8470,11577,11686,9020,10337,11273,10405,9659,11313,11445,9835,123909
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,1277,934,1961,2131,2091,2068,1884,2170,2147,2207,1612,1609,22091
West Englewood,1745 W. 63rd St.,Chicago,60636.0,1522,1422,1878,1975,1724,1819,1815,2193,2401,2578,2097,1834,23258
West Lawn,4020 W. 63rd St.,Chicago,60629.0,7606,6076,8552,8896,7313,8150,5703,7723,8201,10621,8101,7980,94922
West Pullman,830 W. 119th St.,Chicago,60643.0,3312,2713,3495,3550,3010,2968,3844,3811,3209,3923,3162,3147,40144
West Town,1625 W. Chicago Ave.,Chicago,60622.0,9030,7727,10450,10607,10139,10410,10601,11311,11084,10657,10797,9275,122088
"Whitney M. Young, Jr.",7901 S. King Dr.,Chicago,60619.0,2588,2033,3099,3087,3005,2911,3123,3644,3547,3848,3324,3190,37399
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,10564,8874,10948,9299,9025,10020,10366,10892,10901,13272,11421,9474,125056
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,3062,2780,3334,3279,3036,3801,4600,3953,3536,4093,3583,3200,42257
