branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Oriole Park,,,,6994,6185,7746,7693,6836,7974,8088,7240,7441,7930,7355,6192,87674
Portage-Cragin,,,,7381,6252,7155,7479,6243,7688,7339,6702,6467,7406,6899,6408,83419
Pullman,,,,1572,1153,1299,1404,1328,1493,1742,1804,1266,1500,1444,1275,17280
Roden,,,,5102,4760,5822,5822,5325,6831,7455,6502,5992,6176,6114,5079,70980
Rogers Park,,,,10840,9100,10602,10776,9285,11342,11864,11319,11292,12275,10333,10288,129316
Roosevelt,,,,5054,4283,5315,5252,5245,6400,6932,5528,5373,5693,4876,4858,64809
Scottsdale,,,,3672,3174,3836,3554,3545,3751,3668,3093,2820,3501,2994,2613,40221
Sherman Park,,,,894,539,825,1071,1086,1004,1166,1102,1012,1065,976,819,11559
South Chicago,,,,2951,2649,2614,2952,2812,2936,3479,2982,2861,2918,2648,2468,34270
South Shore,,,,3572,2683,2873,3060,2869,3979,4173,3858,4315,3772,3320,2909,41383
Sulzer Regional,,,,39591,33023,39221,37415,35959,40672,39978,41630,36573,38233,38646,33579,454520
Thurgood Marshall,,,,2353,1941,2779,2961,2620,2803,3048,2919,2710,2863,3020,2644,32661
Toman,,,,7055,5400,6594,7469,5916,7443,7310,5697,6080,7284,6818,5714,78780
Uptown,,,,7476,6384,6922,7094,6622,7555,7987,7791,7681,7951,7170,7061,87694
Vodak-East Side,,,,3847,3246,4188,4267,3605,4828,4901,5166,4832,4815,4258,3696,51649
Walker,,,,2075,1649,2381,2383,2100,2364,2595,2740,2408,2466,1899,1892,26952
Water Works,,,,2747,2490,2940,3028,2939,3450,3542,3373,3550,3633,3001,3225,37918
West Belmont,,,,7212,5729,7150,7609,6299,7805,8532,7354,7313,8142,7110,5713,85968
West Chicago Avenue,,,,1536,1079,1528,1504,1115,1395,1567,1592,1530,1635,1504,1300,17285
West Englewood,,,,1829,1458,1804,1896,1627,1752,1678,1701,1752,1832,1326,1449,20104
West Lawn,,,,5692,4314,5455,5857,4936,5685,6650,5850,5628,6345,5755,4957,67124
West Pullman,,,,2088,1945,2431,2528,2286,2284,2629,2646,2311,2460,1990,2006,27604
West Town,,,,6548,5907,7090,6984,6725,7620,7356,7352,6844,7693,6653,6017,82789
"Whitney M. Young, Jr.",,,,2150,2142,2277,2196,1953,2651,2233,2396,2677,2699,2468,1887,27729
Woodson Regional,,,,8041,6271,7024,7062,7086,8028,8080,8420,7933,8318,8261,7392,91916
Wrightwood-Ashburn,,,,2844,2266,2722,2905,2496,2831,3014,2792,2597,2907,2359,2229,31962
