branch,address,city,zip code,january,february,march,april,may,june,july,august,september,october,november,december,ytd
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656.0,9767,8332,9083,8839,8091,8321,9455,8549,8166,8356,8270,6598,101827
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641.0,9164,8153,9649,8271,7880,7667,9296,7685,7759,8782,8628,6942,99876
Pullman,11001 S. Indiana Ave.,Chicago,60628.0,1844,1816,1743,1990,1721,1666,2231,2418,1946,2206,1980,1850,23411
Roden,6083 N. Northwest Highway,Chicago,60631.0,6689,5666,6606,6256,6136,6454,7966,6699,5663,5923,6425,4693,75176
Rogers Park,6907 N. Clark St.,Chicago,60626.0,14752,12851,14672,14198,13236,13523,14042,12737,11544,12424,11579,9746,155304
Roosevelt,1101 W. Taylor St.,Chicago,60607.0,6622,6407,7179,6348,6102,6819,7191,6696,6285,7145,6485,5303,78582
Scottsdale,4101 W. 79th St.,Chicago,60652.0,3889,3737,3837,3612,3577,3826,4633,4020,3593,4329,3790,3016,45859
Sherman Park,5440 S. Racine Ave.,Chicago,60609.0,1929,1684,1522,1477,1349,1573,1773,1590,1495,1455,1220,956,18023
South Chicago,9055 S. Houston Ave.,Chicago,60617.0,4365,3611,4049,4017,3882,3994,4740,4534,3810,4149,3418,2722,47291
South Shore,2505 E. 73rd St.,Chicago,60649.0,4400,3712,4104,3927,1082,88,2755,3754,3766,4093,3922,3484,39087
Sulzer Regional,4455 N. Lincoln Ave.,Chicago,60625.0,49314,44494,50849,48329,45079,47316,51022,46388,44131,46814,45697,37465,556898
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620.0,3555,2734,3045,3186,2811,3104,3869,3607,3569,3546,3424,2802,39252
Toman,2708 S. Pulaski Rd.,Chicago,60623.0,10498,8703,9515,8198,7702,8416,9675,7913,8248,9394,9484,7351,105097
Uptown,929 W. Buena Ave.,Chicago,60613.0,7955,6879,7891,8236,7910,8377,9583,8540,7410,8108,7340,6051,94280
Vodak-East Side,3710 E. 106th St.,Chicago,60617.0,5742,5633,5933,5566,4465,4789,5854,5160,5041,5473,4975,3751,62382
Walker,11071 S. Hoyne Ave.,Chicago,60643.0,3820,2865,3466,3189,3057,3840,3578,2990,3237,3285,3057,2514,38898
Water Works,163 E. Pearson St.,Chicago,60611.0,3654,3269,3825,3909,3531,3958,3854,3637,3666,3893,3279,2833,43308
West Belmont,3104 N. Narragansett Ave.,Chicago,60634.0,9953,8902,10113,9461,8292,8245,10234,8807,8653,9338,8886,7292,108176
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651.0,2362,1859,2400,2291,2290,1936,2129,2180,1792,2250,1976,1611,25076
West Englewood,1745 W. 63rd St.,Chicago,60636.0,2119,1707,1858,1956,1371,1698,1856,2294,2135,2190,2078,1685,22947
West Lawn,4020 W. 63rd St.,Chicago,60629.0,7340,6138,7908,7198,5862,6196,7356,6049,6414,7108,6732,5403,79704
West Pullman,830 W. 119th St.,Chicago,60643.0,3573,2849,2585,2748,2665,2875,3483,3202,3204,3251,2815,2165,35415
West Town,1625 W. Chicago Ave.,Chicago,60622.0,10402,8569,9362,9224,8110,8450,9498,8917,8281,9546,9014,6826,106199
"Whitney M. Young, Jr.",7901 S. King Dr.,Chicago,60619.0,3378,2751,2961,3311,2792,3235,3428,3205,2919,3410,2971,2508,36869
Woodson Regional,9525 S. Halsted St.,Chicago,60628.0,10273,8501,9274,9425,7811,7917,9409,8433,9025,9848,8717,7683,106316
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652.0,3616,2895,3559,3341,2664,2994,3964,3372,3060,3303,2962,2629,38359
